TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,ATOMS_OUTSIDE_BINDINGSITE
247120 CHEMBL344548_entry_00001_conf_11,-55.7411,-39.7411,-2.32255,-19.3244,-0.162326,-7.96001,-13.7775,-2.14389,-36.5015,-7.43667,-24.1582,0,0.272101,0,1,23,0,0,-6.25855,0,7,6,5,6,0,2.68458,0
247120 CHEMBL344548_entry_00001_conf_12,-55.3653,-39.3653,-2.30689,-19.1941,-0.161232,-7.90634,-13.6472,-2.30689,-37.9145,-5.52995,-27.0657,0,0.754556,-0.1,0,24,0,0,-5.6838,0,7,6,7,5,0,3.22046,0
247120 CHEMBL344548_entry_00001_conf_13,-55.2852,-39.2852,-2.30355,-19.1663,-0.160998,-7.89489,-13.6194,-2.12635,-32.2631,-6.876,-26.706,0,1.77678,0,4,20,0,0,-10.2491,0,7,6,5,4,0,3.00682,0
247120 CHEMBL344548_entry_00001_conf_14,-54.9363,-38.9363,-2.28901,-19.0453,-0.159982,-7.84507,-13.4985,-1.96201,-31.1679,-8.56049,-19.9672,0,2.31904,0,4,20,0,0,-10.0377,0,7,6,3,6,0,2.55312,0
247120 CHEMBL344548_entry_00001_conf_15,-54.8048,-38.8048,-2.28353,-18.9998,-0.159599,-7.8263,-13.4529,-2.10788,-31.8411,-7.09943,-22.4447,0,0.414473,-0.0668973,2,22,0,0,-11.4016,0,7,6,5,4,0,3.63587,0
247120 CHEMBL344548_entry_00001_conf_16,-54.6642,-38.6642,-2.27768,-18.951,-0.15919,-7.80622,-13.4041,-2.10247,-36.1689,-8.53191,-24.8238,0,0.250068,0,3,21,0,0,-6.84064,0,7,6,4,6,0,3.56727,0
247120 CHEMBL344548_entry_00001_conf_17,-54.5366,-38.5366,-2.27236,-18.9068,-0.158818,-7.788,-13.3599,-1.94774,-25.6271,-7.3966,-19.6635,0,3.87739,-0.0183055,4,20,0,0,-16.0153,0,7,6,3,4,0.00157632,2.88526,0
247120 CHEMBL344548_entry_00001_conf_18,-54.4137,-38.4137,-2.26724,-18.8642,-0.15846,-7.77045,-13.3173,-2.17655,-37.5374,-4,-28.1446,0,1.06096,-0.1,0,24,0,0,-4.53831,0,7,6,6,5,0.203081,2.99366,0
247120 CHEMBL344548_entry_00001_conf_19,-53.4518,-37.4518,-2.22716,-18.5307,-0.155659,-7.63308,-12.9838,-2.05584,-33.5711,-5.81679,-22.9647,0,3.57122,-0.1,2,22,0,0,-7.33427,0,7,6,5,5,0,2.83567,0
247120 CHEMBL344548_entry_00001_conf_20,-53.3528,-37.3528,-2.22303,-18.4964,-0.155371,-7.61894,-12.9495,-1.97603,-30.359,-7.05026,-18.4162,0,0.407885,-0.1,1,23,0,0,-10.0602,0,7,6,4,5,0,3.01498,0
247120 CHEMBL344548_entry_00001_conf_21,-53.2398,-37.2398,-2.21833,-18.4572,-0.155042,-7.60281,-12.9103,-2.12959,-34.4052,-7.25159,-27.5547,0,0.602683,-0.0185869,3,21,0,0,-7.02625,0,7,6,6,4,0.0617445,3.09361,0
247120 CHEMBL344548_entry_00001_conf_22,-53.2035,-37.2035,-2.21681,-18.4446,-0.154936,-7.59762,-12.8977,-1.90012,-30.6338,-6.5894,-22.4714,0,4.05776,0,3,21,0,0,-9.60761,0,7,6,3,6,0,2.56417,0
247120 CHEMBL344548_entry_00001_conf_23,-53.1419,-37.1419,-2.21425,-18.4233,-0.154757,-7.58883,-12.8764,-2.12568,-25.363,-8.3942,-12.165,0,0.301115,0,1,22,1,0,-14.0232,0,7,6,5,4,0,2.62752,0
247120 CHEMBL344548_entry_00001_conf_24,-53.0003,-37.0003,-2.20835,-18.3742,-0.154344,-7.5686,-12.8273,-1.89287,-33.4314,-8.77847,-29.5489,0,2.12519,0,8,16,0,0,-8.54013,0,7,6,3,6,0.0465267,3.60698,0
247120 CHEMBL344548_entry_00001_conf_25,-52.9754,-36.9754,-2.20731,-18.3655,-0.154272,-7.56504,-12.8186,-2.03751,-31.7313,-8.75832,-24.0411,0,0.608157,-0.0857741,4,20,0,0,-10.68,0,7,6,5,4,0,4.07691,0
